,abst,auth,sect_abs,title
252,"A critical aspect of recognition memory is the integration of available memory evidence and a decision criterion. Previous work has shown that a wide range of factors can affect the placement of a decision criterion, including cognitive and personality factors. In this study we attempted to quantify the impact of aging on criterion placement during episodic recognition. To that end, we used fMRI to examine recognition behavior and regional brain activity in 30 young adults (25-35 yrs) and 30 elderly subjects (60-75 yrs) during a task involving criterion shifting. Subjects were first asked to encode 150 words for later recognition. The words were then presented alongside new, unobserved words in conditions of high target probability (70% old, 30% new) and low target probability (30% old, 70% new). Subjects had to decide for each word whether it was a target old word or a non-target new word. The results demonstrated that target discrimination ability (d-prime) was lower in the elderly group, and that the elderly group showed increased variability in the degree of criterion shifting between the two probability conditions. We also found that the elderly group had significantly increased inter-individual variability in regional brain activity relative to the young adult group while performing the task. The results suggest that aging is associated with increased variability in criterion shifting and in the regional brain activity that accompanies such criterion shifts. "," Brian Lopez1, Craig Bennett1, Tyler Santander1, Michael Miller1;  1 University of California, Santa Barbara",D54, INTER-INDIVIDUAL VARIABILITY IN CRITERION SHIFTING ACROSS THE LIFESPAN
253,"Biomarkers are a  promising approach to the prediction and early intervention of Alzheimer’s disease. We demonstrated that cortical functional MRI (fMRI) activation during a semantic memory task and apolipoprotein-E ?4 allele inheritance (APOE?4) effectively predicted cognitive decline after 18months in healthy, asymptomatic elders. Hippocampal volume added modest prediction, while AD family history and demographics were ineffective. Previous studies have linked plasma homocysteine (tHcy), vitamin B12 and creatinine values to cognitive functioning, cortical atrophy, hippocampal atrophy and neuropathology, and vascular integrity. Here we incorporated total plasma homocysteine (tHcy), B12 and creatinine values into our previous predictive models. Of 78 healthy elders, 27 (34.6%) exhibited significant cognitive decline after 18-months. tHcy, but not B12 or creatinine, was marginally positively correlated with cortical semantic memory fMRI activation, particularly in stable participants. Logistic regression showed that tHcy, when added to APOE?4 and cortical fMRI, was a significant predictor of outcome and strengthened the already significant model (p = .007; C = .80 and R2 = .37). However, control for B12 and creatinine covariates diminished tHcy as a predictor (p =.084), though the model was still stronger than without this factor (C = .78 and R2 = .31). tHcy did not significantly interact with APOE?4, as has previously been reported. Neither B12 nor creatinine was similarly effective as a predictor. These results suggest that commonly investigated blood serum biomarkers are at best weakly associated with predicting age- and dementia-related cognitive decline in healthy, asymptomatic elders. fMRI and APOE?4 presently provide the best predictive model.  116 ","son1,2, Michael A. Sugarman3, John L. Woodard3, Michael Seidenberg4, J. Carson Smith5, Sally Durgerian2, Stephen M. Rao6; 1Marquette University, 2Medical College of Wisconsin, 3Wayne State University, 4Rosalind Franklin University of Medicine and Science, 5University of Maryland, 6Cleveland Clinic",D55, THE CONTRIBUTION OF BLOOD SERUM BIOMARKERS TO THE PREDICTION OF COGNITIVE DECLINE BY FMRI AND APOLIPOPROTEIN-E IN HEALTHY OLDER ADULTS A. A. L. J. M.
254,"Apolipo-  protein E (APOE) ?4 allele carriers demonstrate greater risk for cognitive decline and Alzheimer’s disease than non-carriers. However, factors associated with risk of decline among APOE ?4 carriers are not wellknown. In this longitudinal study, we investigated whether discrete aspects of baseline episodic memory performance and structural (sMRI) and functional (fMRI) magnetic resonance imaging were associated with cognitive decline in older APOE ?4 carriers and non-carriers. Seventyeight healthy older adults underwent cognitive testing at baseline and after 18 months, baseline serum APOE genotyping, manually-traced hippocampal volume measurement from sMRI, and task-activated fMRI. Cognitive decline was defined as a one SD or greater reduction from baseline on at least one of three cognitive measures at follow-up (Rey Auditory Verbal Learning Test [AVLT] Delayed Recall and Trials 1-5 Sum, Mattis Dementia Rating Scale-2 Total Score). Declining APOE ?4 carriers (n=14) exhibited reduced hippocampal volume (p<.009) and fMRI semantic processing activity in cortical (p<.04) and hippocampal (p<.05) regions relative to stable carriers (n=12). On the AVLT, declining APOE ?4 carriers showed greater baseline susceptibility to retroactive interference (p<.006), intertrial forgetting (lost access; p<.001) and recognition false alarms (p<.05) compared to stable carriers. Stable (n=39) noncarriers showed slightly more susceptibility to proactive interference than declining (n=13) non-carriers (p<.02). Along with sMRI and fMRI, AVLT measures of rapid forgetting can help to identify APOE ?4 carriers with elevated risk for cognitive decline. These effects appear to be largely unique for APOE ?4 carriers, perhaps due to preclinical structural and functional alterations in structures subserving memory. "," Seidenberg2, Kristy A. Nielson3,5, Michael A. Sugarman1, J. Carson Smith4, Sally Durgerian5, Alissa M. Butts3, Melissa A. Lancaster2, Mary K. Foster6, Nathan C. Hantke3, Monica A. Matthews2, Stephen M. Rao6; 1Wayne State University, 2Rosalind Franklin University, 3Marquette University, 4University of Maryland, 5Medical College of Wisconsin, 6The Cleveland Clinic",D56, EPISODIC MEMORY MEASURES COMPLEMENT STRUCTURAL AND FUNCTIONAL MRI FOR PREDICTING COGNITIVE DECLINE IN L. APOLIPOPROTEIN E CARRIERS A. A. J. M. A. K. C. A. M.
255,"Most research examining associative memory has focused on memory for non-naturalistic, laboratory-based stimuli. We extend current findings by exploring item and associative memory for novel naturalistic actions (NNA; e.g., how to make an artsand-crafts style project such as a windspeed indicator). Based on previous research using laboratory tasks, a selective decline in memory for associative information (e.g., was this tool used with this object?) relative to item information (e.g., was this object presented?) was predicted in amnestic mild cognitive impairment (aMCI) and aging. Individuals with aMCI (n = 24), age-matched older adults (n = 24), and undergraduates (n = 32) viewed two 90 second NNA videos. Following a 90 second distractor task, participants completed forced-choice recognition memory tests of item and associative memory for the NNAs. A mixed ANOVA with the within-subjects factors of question type (item, associative) and response type (hits, false alarms), and the between-subjects factor of group (young, old, aMCI), revealed no significant interaction [F(2, 77) = 0.870, p = .233], contrary to previous findings with other stimuli that demonstrates older adults, and those with impaired memory, show selective decline in associative memory. A response type by group interaction confirmed the aMCI group had higher false alarms overall [F(2, 77) = 20.797, p < .001, ?p² = .351], but no differences between younger and older adults. Further, the three groups did not differ in overall hit rate. The findings support protected encoding of within-domain associa-  Cognitive Neuroscience Society — 2012 Annual Meeting  Sunday, April 1, 4:00 - 6:00 pm, Exhibit Hall — Poster Session D tions and challenge boundaries of associative deficit hypotheses with more ecologically valid stimuli.  LONG-TERM MEMORY: Episodic","ld1,3, Norman W. Park3, Angela K. Troyer2,3,4,  Kelly J. Murphy2,3,4; 1Joseph and Kathleen Bryan Alzheimer's Disease Research Center, Duke University Medical Center, 2Baycrest Centre, 3York University, 4University of Toronto",D57," ITEM AND ASSOCIATIVE MEMORY FOR NOVEL NATURALISTIC ACTIONS IN AMNESTIC MILD COGNITIVE IMPAIRMENT, OLDER ADULTS, AND YOUNGER ADULTS A. W. K. J."
256,"Although previous studies  have demonstrated activations in the lateral prefrontal cortex (lPFC) and hippocampus during the recollection process, little is known about the aging effects on these activations. This fMRI study investigated the effects of aging on neural activations in these regions during the successful recollection of faces. During encoding, young and older female adults were presented with male faces one by one, and rated the goodness of impression for each face. During retrieval, the participants were presented with old and new faces, and recognized whether the faces were previously learned or not. Successful recognition activity for old faces (SRA-O) or for new faces (SRA-N) was identified by comparing activities between high- and low-confidence successful recognition for old and new faces, and the SRA-O and SRA-N contrasts were compared between young and older adults. The study yielded three main findings. First, SRA-O in lPFC and the hippocampus was greater for young than for older adults, whereas the parahippocampal gyrus showed greater SRAO in older adults than in young adults. Second, SRA-N in lPFC and the hippocampus was greater for young than older adults, but greater SRAN for older adults was not identified in any region. Third, correlations between lPFC and hippocampal activities were significantly higher in young adults than in older adults. Taken together, age-related decline in the recollection process of memory for faces could be modulated by interactions between lPFC, which is associated with the strategic process, and the hippocampus, which is associated with the retrieval of memory details. "," Takashi Tsukiura1, Yayoi Shigemune1, Rui Nouchi2, Toshimune Kambara2, Ryuta Kawashima2; 1Kyoto University, Japan, 2Tohoku University, Japan",D58, AGE-RELATED DIFFERENCES IN PREFRONTAL AND MEDIAL TEMPORAL ACTIVATIONS DURING SUCCESSFUL RETRIEVAL
257,"A growing body of literature suggests that retrieval practice can enhance long-term retention (for a recent review, see Roediger & Butler, 2011). In addition, retrieving has also been shown to have indirect benefits such that the act of taking a test has ramifications for how an individual studies or continues to learn post-test. The finding that testing can indirectly benefit subsequent study is referred to as test-potentiated learning (Izawa, 1971). The current experiment sought to better understand the functional-anatomic correlates of testpotentiated learning using functional MRI. Subjects initially studied paired-associates, and then either were given a test or restudy opportunity. Additionally, some of the items were not presented during this portion of the experiment. Subjects then simply restudied all of the items in a final phase. This manipulation determined whether neural activity in the final study phase was differently modulated as a result of taking a test as opposed to re-exposure. Regions located in parietal cortex were among the most robust when contrasting items that were tested vs. restudied. Though many regions were modulated based on successful recall, when constraining our search to regions that showed greater activity for all tested items, a region in posterior inferior parietal lobule (pIPL) emerged. This region has been implicated in studies of recognition memory as supporting processes related to perceived oldness and reliably shows old > new effects (Nelson et al., 2010). Thus, testing items may increase the potency of this signal, which may play a role in supporting long-term retention.  Cognitive Neuroscience Society — 2012 Annual Meeting ","on1, Kathleen M. Arnold1, Laura M. Najjar1,  Adrian W. Gilmore1, Bridgid Finn1, Kathleen B. McDermott1; 1Washington University in St. Louis",D59, FUNCTIONAL-ANATOMIC CORRELATES OF TEST-POTENTIATED LEARNING M. M. M. W. B.
258,"In several previous behavioral studies we have identified a group of amnestic patients that exhibit selective deficits in recollection with preserved familiaritybased recognition, but other behavioral studies have suggested that this type of patient might exhibit deficits in both recollection and familiarity. To examine recollection and familiarity processes in these patients, we recorded ERPs in three amnestic patients and six age matched controls while they made item recognition and source recognition judgments. ERP studies of recognition in healthy subjects have indicated that recollection and familiarity are related to a late positive component (LPC) and an earlier frontal component (FN400), respectively. The current patients were able to discriminate between old and new items, but were not significantly above chance at making source judgments. Moreover, whereas control subjects exhibited ERPs indicative of both recollection and familiarity, the patients only exhibited evidence of a familiarity correlate. In high confidence recognition responses, there was no evidence of recollection-related ERPs (i.e.: LPC), and this was qualified by a significant interaction of confidence (high vs. low recognition confidence) and group (patient vs. controls). The results verify that the patients do in fact exhibit a selective deficit in recollection, and have broad implications for understanding the cognitive neuroscience of episodic memory. ","  Rick Addante1,2, Charan Ranganath1, John Olichney1, Andrew Yonelinas1; 1 University of California - Davis, 2University of Texas - Dallas",D60, NEUROPHYSIOLOGICAL EVIDENCE THAT MILD HYPOXIA PATIENTS HAVE SELECTIVE RECOLLECTION IMPAIRMENTS BUT INTACT FAMILIARITY
259,"Measures of eye movements indicate that individuals view old and new scenes differently depending on whether the scenes are old (repeated) or new (i.e., the repetition effect). This effect depends on hippocampus-dependent, declarative memory when participants know that memory is being tested. We explored the nature of this effect during free viewing when memory is irrelevant. In Experiment 1, participants viewed old and new scenes before they knew that memory would be tested. Memory was then tested independently with a subset of the scenes. Different list lengths and study times yielded three groups that differed in memory strength: Strong Memory (91% correct, N=20), Moderate Memory (73% correct, N=23), and Weak Memory (60% correct; N=23). The repetition effect was observed only in the Strong Memory condition. In Experiment 2, patients with bilateral lesions of the medial temporal lobe were impaired at remembering scenes in the Strong Memory condition of Experiment 1. In Experiment 3 (N=50), participants viewed 20 old and 20 new scenes without knowledge of a memory test. Then they viewed the old and new scenes a second time, making old/new recognition memory judgments and confidence judgments (1-6 scale; 1=Definitely New, 6=Definitely Old). The repetition effect during free viewing was observed only when recognition memory judgments were correct and/ or when they were accompanied by high confidence. Thus, differential viewing of old and new scenes during free viewing reflects declarative memory. The repetition effect does not reflect an automatic or unconscious effect of recent experience. "," N Smith1, Larry R Squire1,2;  1 UCSD, 2Veterans Affairs Medical Center, San Diego",D61," DECLARATIVE (AWARE) MEMORY DETERMINES DIFFERENTIAL EYE MOVEMENTS FOR OLD AND NEW SCENES, EVEN WHEN THERE IS NO EXPECTATION OF MEMORY TESTING N R UCSD,"
260,"Associative memory relies on the integrity of the medial temporal lobes (MTL). We have previously demonstrated that associative reinstatement (i.e., gain in item recognition when test items are presented in their studied pairings) is reduced in individuals with unilateral temporal excisions that include the hippocampus, surrounding cortices and temporal neocortex. Our goals were to determine  117  Poster Session D — Sunday, April 1, 4:00 - 6:00 pm, Exhibit Hall whether associative reinstatement is modulated by the degree of damage to left temporal regions and whether similar effects are found using within-domain associations (word-word) and between-domain associations (word-face). These two types of associations have been proposed to rely on perirhinal and hippocampal regions, respectively. We recruited individuals with left temporal excision and with temporal lobe epilepsy (TLE) who have less extensive MTL damage (usually more prominent in the hippocampus) as well as healthy controls. They studied word-word and word-face pairs. At test, they were presented with new-new, newold, rearranged and intact pairings and indicated, using a 6-point confidence rating scale, whether the first word of the pair was studied before. Associative reinstatement scores were derived by subtracting the hit rate to rearranged pairs from that of intact pairs for both tasks. The reinstatement gain was significantly greater for word-word relative to word-face associations in controls and TLE, and reinstatement effects for both types were reduced solely in the excision group. Our findings highlight the critical dependence of reinstatement on MTL regions (possibly perirhinal cortex or peririnal-hippocampal interactions). The magnitude difference across association types may represent greater unitization of withindomain associations relative to between-domains ones. "," Melanie Cohn1,2, MaryPat McAndrews1,2; 11Krembil  Neuroscience Centre & Toronto Western Research Institute, 2Department of Psychology, University of Toronto",D62, MEDIAL TEMPORAL LOBE DAMAGE AND ASSOCIATIVE REINSTATEMENT
261," Objectives: (1) To examine, using diffusion tensor imaging (DTI), whether fornix damage after moderate to severe traumatic brain injury (TBI) continues to progress sub-acutely; and, (2) To measure the relationship between structural changes in the fornix and recovery of memory function. Methods: 19 patients with moderate to severe TBI were assessed using DTI and neuropsychological assessments at 5 and 32 months post injury. Neuropsychological measures included Wechsler Memory Scale Logical Memory test (WMS-LM), Rey Auditory Verbal Learning Test (RAVLT) and Rey Visual Design Learning Test (RVDLT). Control variables included the symbol digit modalities test oral (SDMTO) and Acute Care Length of Stay (ACLOS). DTI measures included fractional anisotropy (FA) values for the column/body, right crux and left crux of the fornix Results : Paired t-tests showed significant FA reductions from 5 months to 32 months for the column/body (t= 4.259, P<0.05, Cohen's d= 0.60), right crux (t=4.098, P<0.05, Cohen's d= 0.69) and left crux of fornix (t=3.197, P<0.05, Cohen's d= 0.56). After controlling for SDMT-O and ACLOS, change in logical memory was found to be correlated with change in FA of the right crux (Pearson r= 0.707, P<0.05) and the left crux of the fornix (Pearson r= 0.635, P<0.05). Conclusions : There is a loss in fornix integrity within the sub-acute stages of TBI, and greater FA reductions in the right and left crux of the fornix are associated with poorer verbal memory recovery. Such changes within white matter tracts may explain the poor cognitive recovery observed in TBI patients. ","EMORY Areeba Adnan1, Morris Moscovitch2, Adrian Crawley3, David Mikulis3, Brenda Collela1, Robin Green1; 1Toronto Rehabilitation Institute, 2University of Toronto, 3Toronto Western Hospital",D63, PROGRESSIVE LOSS OF WHITE MATTER IN FORNIX FROM TO MONTHS AFTER MODERATE TO SEVERE TBI AND ITS DELETERIOUS EFFECT ON MEMORY
262,"Episodic memory is supported by networks of white matter tracts that connect temporal with frontal and parietal regions. Degradation of white matter is increasingly recognised as important feature of memory changes associated with Mild Cognitive Impairment (MCI) but the precise significance of the specific connections within these networks remains to be characterised. Furthermore, recent evidence from fMRI  118  studies in MCI suggest that the brain may respond to disease by reorganising the structure and the connections of its memory networks. The present study employed diffusion-weighted MRI tractography to reconstruct three temporal fasciculi presumed to link components of memory networks - the fornix, the parahippocampal cingulum, and the uncinate fasciculus. A group of 25 MCI patients was compared with 20 healthy controls matched for age, education, and sex. Patients and controls differed significantly in all measures of episodic memory except for familiarity based memory. For the controls, episodic memory was only associated with changes in fornix microstructure and not with changes in the other tracts. In contrast, for MCI patients, memory was associated with the status of the parahippocampal cingulum and the uncinate fasciculus, but not of the fornix. Moreover, familiarity based memory was specifically associated with variation in parahippocampal cingulum microstructure. This pattern of dissociations suggests that in the healthy brain the fornix bares most of the episodic memory load whereas in the presence of a compromised mediotemporal lobe system, other temporal association tracts may be recruited to support familiarity based memory function and to compensate for fornix loss. ","Hunt2,  Jones1,  Aggleton1,  Bayer3,  Sarah Derek K John Anthony Michael J. O'Sullivan1,4; 1Cardiff University Brain Research Institute (CUBRIC), School of Psychology and Neuroscience and Mental Health Research Institute, Cardiff University, 2NISCHR CRC, South East Wales Research Network, Cardiff, 3 Cardiff Memory Team, Llandough Hospital, LLandough, Cardiff, 4Department of Clinical Neuroscience, Institute of Psychiatry, King's College , London",D64," REORGANISATION OF MEMORY LOAD IN TEMPORAL ASSOCIATION TRACTS IN MILD COGNITIVE IMPAIRMENT K J. (CUBRIC), 2NISCHR CRC,"
263,"Recently we illustrated that negative emotional memories are consolidated over sleep and this is accompanied by preserved emotional reactivity relative to the attenuated emotional response and reduced memory accuracy observed following wake. In the present study, we investigated processing of positive emotional stimuli over sleep. Seventy young adults (aged 18-30) were tested over two sessions separated by 12-hrs with overnight sleep (Sleep group) or daytime wake (Wake group). In both sessions, participants provided valence and arousal ratings for IAPS images selected to represent neutral to positive valence. Sleep enhanced memory for positive images (F(1,68)=3.76, p=.057) but no such benefit was observed for the interleaved neutral images (F(1,68)=.27, p=.61). Emotional reactivity to positive images was attenuated (towards neutral) over both the sleep and wake intervals but the magnitude of attenuation tended to be higher in the Sleep group (F(1,68)=3.09, p=.08). Initial emotionality ratings were similar across groups, excluding possible circadian effects on performance (all p>.65). There was no significant relationship between memory accuracy and change in emotional reactivity suggesting these two processes may occur independently (r=.08, p=.7). These results suggest that sleep may prioritize consolidation of positive memories over neutral memories presented in the same context. Moreover, the subjective reactivity to emotionally positive stimuli is attenuated by sleep, in contrast to the protection of the emotional reaction to negative items following sleep. Collectively, this may reflect an adaptive function of sleep in maintaining the responsiveness and memory for threatening stimuli and decreasing the response to items that are not threatening. "," rebecca spencer1, Syndey Adams1, Bengi Baran1;  1 University of Massachusetts, Amherst",D65, EFFECTS OF SLEEP ON MEMORY AND REACTIVITY FOR POSITIVE EMOTIONAL PICTURES
264,"Healthy adults are able to name visual objects both quickly and effortlessly, reflecting close cooperation between the ventral visual stream and the left perisylvian language network. Odor naming depends on interactions with the medial frontotemporal olfactory network, and is subjectively more difficult and objectively less accurate compared to picture naming. The basis for this discrepancy is currently unknown. We used the event-related potential (ERP) method to explore the semantic integration of visual and odor objects with word labels. We hypothesized that odor-based mapping to words would be distorted relative to visual-based mapping, and that this distortion would extend beyond perceptual identification to a deeper stage of semantic association. Fifteen younger adults were presented with a set of 12 objects from 3 edible and 3 inedible categories. Participants rated pictures of each object as being more familiar than odors, consistent with a general lack of expertise for odors. Participants were then presented with odor or picture object primes followed 2 seconds later by matching, related (from the same category), or unrelated word probes. Accuracy was lower on matching and related odor trials, suggesting difficulty in assigning labels to similar odors from the same category. We used the event-related potential (ERP) technique to evaluate the quality of lexical mapping on the remaining trials where participants responded correctly. N400 potentials were more spatially focal and of higher amplitude on odor trials compared to picture trials, providing evidence of qualitative differences in the lexical mapping from each object modality. "," Robert Hurley1, Marsel Mesulam1, Jay Gottfried1, Jonas Olofsson2; 1  Northwestern University, 2Stockholm University",D68, ELECTROPHYSIOLOGY OF NAMING BASED ON ODORS VERSUS VISUAL OBJECTS
265," The factors determining semantic memory organization are still a matter of debate. Modality-specific theories propose that neural object representations depend on the modalities of object-related experience. For tools, representations in fronto-parietal cortex would thus be caused by the involvement of these brain regions during tool manipulation. The aim of the present study was to elucidate if mere observation of tool manipulation can induce object representations in fronto-parietal brain regions. Thirty-six novel, manipulable, tool-like objects were created, each serving a particular function. Seventeen participants received object-related training in three sessions. One set of 12 objects was manipulated by the experimenter during training, and the subjects observed the manipulation (observed manipulation objects, oMO). Another set of 12 objects was visually explored by the participants (visually trained objects, VTO), and the third set of objects was not part of the training (not trained objects, NTO). Pre- and post-training, subjects’ brain activity was assessed using  Cognitive Neuroscience Society — 2012 Annual Meeting  functional magnetic resonance imaging while they completed a matching task with images of the objects. After training, oMO elicited stronger activity than NTO in the left inferior parietal lobule and inferior frontal gyrus including Brodmann Area (BA) 45. In the same inferior frontal region activity was also higher for oMO than VTO, whereas for VTO vs. NTO higher activity was found in a more anterior part of the inferior frontal gyrus (BA 10). The observation of tool manipulation is thus capable of inducing object representations in fronto-parietal brain regions, which are typically associated with knowledge about active tool use. "," Naima Rüther1, Marco Tettamanti2, Stefano  Cappa3, Christian Bellebaum1; 1Ruhr University Bochum, Germany, 2San Raffaele Scientific Institute, Italy, 3Vita-Salute San Raffaele University, Italy",D69, OBSERVED MANIPULATION INDUCES OBJECT REPRESENTATIONS IN FRONTO-PARIETAL CORTEX
266,"How is conceptual information repre-  sented across sensory and motor cortex? Rather than merely demonstrating that retrieving a feature of an object, such as its shape, activates a relevant sensorimotor region, such as occipitotemporal cortex, we tested a stronger prediction of sensorimotor theories of concepts, namely that the similarity of the neural representations of two concepts in a given region should reflect their similarity on a specific dimension. We measured the magnitude of fMRI-adaptation (our index of neural similarity) to word pairs that varied according to their similarity on shape (bageltire) and manipulation (key-screwdriver). Degree of shape similarity was positively correlated with the magnitude of fMRI-adaptation in two regions involved in visual object recognition (left lingual and fusiform gyri), whereas degree of manipulation similarity was positively correlated with adaptation in two regions involved in planning and performing object-related actions (left inferior parietal and precentral gyri). That is, we identified two distinct neural similarity spaces that map onto conceptual similarity in different ways, and these effects confirm the predictions from sensorimotor theories. Surprisingly, we also observed inverse-adaptation (i.e., more activation) in the same regions: In visual regions, greater manipulation similarity led to inverse adaptation; and in action regions, greater shape similarity led to inverse adaptation. We will discuss the possibility that these inverse-adaptation effects reveal interactions between conceptual representations, and that these interactions serve to magnify differences in the distinctive features of related concepts. These findings illustrate the importance of examining neural similarity for our understanding of conceptual representation. ","izabeth Musz1, Eiling Yee1,2, Sharon L. Thompson-Schill1; 1Department  of Psychology, University of Pennsylvania, 2Basque Center on Congition, Brain and Language",D70, MAPPING THE SIMILARITY SPACE OF CONCEPTS IN SENSORIMOTOR CORTEX L.
267,"Previous studies have demonstrated impaired sensory  binding associated with corticortical disconnectivity in Alzheimer's disease (AD). Disrupted functional connectivity has also been observed in resting-state networks of AD patients and patients with mild cognitive impairment (MCI). Because real objects (particularly living items) are represented as integrated sets of perceptual features distributed across distinct cortical areas, the semantic memory impairments observed in AD may be attributable to the disruption of functional connectivity within these cortical areas. To examine this issue, healthy controls and AD/MCI patients were given a Stroop-like task in which they named the color of pictures of real world living and nonliving objects as quickly as possible. Objects with strongly associated colors were presented in either typical (red strawberry) or atypical (yellow strawberry) colors; objects without strongly associated colors served as neutral stimuli. While both groups showed reduced accuracy for the typical and atypical stimuli compared to the neutral stimuli, the patient group showed an additional reduction in accuracy for the typical living (but not nonliving) stimuli. The patient group also displayed an additional increase in color naming latency for the typical living stimuli. Results suggest that binding of distributed object featural representations is disrupted at the earliest stages  119  Poster Session D — Sunday, April 1, 4:00 - 6:00 pm, Exhibit Hall of AD, such that access to color features is more difficult for living objects. These findings not only provide further confirmation of a featural binding deficit associated with the neocortical disconnectivity in AD, but also provide support for a fundamental distinction between the stored representations of living and nonliving objects. "," Elena Festa1,  Brian Ott1,2, Geoffrey Tremont1,2, William Heindel1; 1Brown University, 2Rhode Island Hospital",D71, IMPAIRED BINDING OF PERCEPTUAL INFORMATION WITHIN SEMANTIC MEMORY IN EARLY-STAGE ALZHEIMER’S DISEASE: BEHAVIORAL EVIDENCE FOR DISRUPTED FUNCTIONAL CONNECTIVITY
268,"Episodic and semantic memory retrieval have been well studied, yet only episodic memory has been subdivided into judgments of recollection/ familiarity. To disambiguate results of studies comparing episodic and semantic memory, we seek to study judgments of episodic and semantic item-only memory, free from additional information inherent in unconstrained studied of memory retrieval. We first behaviorally show that subjects can divide semantic memories into recollection/familiarity using a new set of stimuli, and that additional information retrieved during semantic recollection is itself semantic in nature. Using fMRI, we then examine the differences in BOLD activity during judgments of episodic and semantic recollection/familiarity. No differences were found in cortex or in medial temporal lobe when subjects made episodic and semantic recollection judgments. However, judgments of episodic and semantic familiarity showed different networks of activation in cortex and medial temporal lobe. Using the medial temporal lobe clusters as seed regions, functional connectivity during episodic and semantic familiarity differed. While there was no difference in activation when additional information was retrieved along with the item, without access to the context necessary for memories to be recollected, episodic and semantic memory retrieval functionally differentiate in cortex, substructures of the medial temporal lobe, and functional correlation of cortex with these medial temporal lobe structures. This could be a result of differences in the presence and accessibility of episodic and semantic additional information; episodic items have no schema while semantic items must have some schema in order to be identified as familiar, even if that information is inaccessible. "," I. Gimbel1, James B. Brewer2, Anat Maril1; 1The  Hebrew University in Jerusalem, 2University of California, San Diego",D72, I KNOW I'VE SEEN YOU BEFORE: EXAMINING THE BRAIN BASES OF EPISODIC AND SEMANTIC MEMORY RETRIEVAL USING RECOLLECTION AND FAMILIARITY I. B.
269,"We used perceptually-rich  photographs of human actions and pared-down drawings of actions to test the hypothesis that concrete versus more symbolic formats recruit different representations in the brain. We also tested if activity in sensorimotor cortices responds to the abstract identity of an action across multiple instances of that action, irrespective of format. Using repetition suppression functional magnetic resonance imaging, we asked participants to decide if pairs of photographs and drawings referred to the same or different actions. Items in a pair depicted identical instances of an action (SAME), different instances of the same action (ALT), or different actions altogether (DIFF). We predicted decreased neural activity for SAME relative to DIFF trials in perceptual areas and for ALT relative to DIFF trials in areas coding abstract action identity. In visual motion area MT, we observed significant suppression for SAME but not ALT trials relative to DIFF trials. In motor cortex, we observed significant suppression for both SAME and ALT trials relative to DIFF trials. These results suggest that area MT does not represent abstract action identity but that different instances of an action may elicit the same embodied motor response. We also hypothesized that schematic drawings would activate areas different from, and possibly adjacent to, sensorimotor areas activated by photographs. Partially consistent with this hypothesis, preliminary whole-brain analyses comparing photographs and drawings indicated photographs more strongly activated bilateral occipital poles. Drawings more strongly activated right superior parietal cortex, an area associated with impaired understanding of schematic spatial relations when damaged.  120 "," Christine Watson1, Eileen Cardillo1, Bianca Bromberger1, Anjan Chatterjee1; 1University of Pennsylvania",D73," YOU JUMP, I JUMP: NEURAL SENSITIVITY TO ABSTRACT ACTION SEMANTICS"
270,"A  1University  of Pennsylvania,  central principle in sensorimotor theories of concepts is that categories may differentially rely on some sensorimotor regions over others due to each category’s properties. While there is evidence for basic predictions of sensorimotor theories, less research exists about the principles leading to different representations across categories. In two experiments, we explored how feature diagnosticity affected neural conceptual representations by examining how variation in diagnosticity of color information affected recruitment of color-sensitive visual areas during conceptual retrieval. In Experiment 1, subjects were trained to learn that color and shape were necessary features in novel object representations (similar to limes and lemons), or that shape alone was a sufficient feature in novel object representations (similar to stop signs and yield signs, where color is available but not necessary). In Experiment 2, subjects were asked about categories wherein color is necessary (fruits and vegetables) or not (household items). For both experiments, subjects completed a feature listing task describing the objects, then performed a shape knowledge retrieval task while undergoing fMRI. In visual areas involved in color perception, we found greater activity during the shape retrieval task for color+shape subjects than for shape subjects. We also found greater activity in these areas during the task for fruits and vegetables compared to household items. In both experiments, prioritizing color in the feature listing task correlated with brain activity in color-sensitive regions during the task. These results suggest neural correlates for diagnostic features, and that when activating object representations, diagnostic features may be retrieved automatically. ","Hsu1, Margaret L. Schlichting2, Sharon L. Thompson-Schill1;  2University of Texas at Austin",D74, FEATURE DIAGNOSTICITY AFFECTS SEMANTIC REPRESENTATIONS OF NOVEL AND COMMON OBJECT CATEGORIES S. L. L.
