lexical encoding,6
lexical processing,196
lexical retrieval,116
lexicon,436
life satisfaction,590
Limited Capacity,195
linguistic competence,38
listening,1888
localization,2740
Locomotion,1554
logic,1250
logical reasoning,159
loneliness,470
long term memory,2398
loss,17861
loss anticipation,8
loss aversion,67
lying,321
maintenance,8049
manipulation,3222
mathematical reasoning,38
meaning,3671
mechanical reasoning,11
melody,193
memory,73676
memory acquisition,199
memory consolidation,905
memory decay,27
memory retrieval,1000
memory storage,265
memory trace,225
mental arithmetic,421
mental imagery,523
mental representation,373
mental rotation,570
metacognition,851
metacognitive skill,13
metacomprehension,9
metamemory,225
metaphor,466
misattribution,116
monetary reward prediction error,0
monitoring,8237
mood,13633
morphological processing,55
morphology,2226
motion aftereffect,26
motion detection,64
motor control,1687
motor learning,707
motor planning,293
Motor Praxis,10
motor program,60
motor sequence learning,90
movement,12985
multisensory,1035
multisensory integration,396
multistable perception,19
naming,3026
narrative,1590
navigation,1646
negative emotion,381
negative feedback processing,7
negative priming,197
neologism,1
neuroplasticity,1069
nociception,307
noesis,0
noise sensitivity,25
nondeclarative knowledge,1
nondeclarative memory,29
novelty detection,90
numerical comparison,48
numerical scale judgment,0
object categorization,82
object centered representation,2
object detection,29
object maintenance,0
object manipulation,108
object perception,169
object recognition,2387
Object-based attention,73
obsession,89
oddball detection,11
offensive (proactive) aggression,0
olfaction,664
olfactory perception,217
openness,435
optical illusion,6
orthographic lexicon,18
orthography,253
overt attention,55
overt naming,11
pain,12224
pain habituation,2
pain sensitization,7
paranoia,317
paraphasia,16
parsing,270
passive attention,9
past tense,89
pattern maintenance,0
pattern recognition,7773
pavlovian conditioning,125
perception,42838
perceptual binding,21
perceptual categorization,67
perceptual fluency,32
perceptual identification,53
perceptual learning,382
perceptual priming,72
perceptual similarity,71
perceptual skill,35
perfectionism,302
performance monitoring,297
phonation,107
phonemic paraphasia,7
phonetics,1985
phonological assembly,6
phonological awareness,330
phonological buffer,6
phonological code,19
phonological comparison,0
phonological encoding,58
phonological loop,121
phonological processing,421
phonological retrieval,19
phonological working memory,48
phototransduction,8
place maintenance,0
planning,6461
positive feedback processing,0
positive priming,37
potential monetary loss,0
potential monetary reward,0
pragmatic inference,18
pragmatic knowledge,7
pragmatic reasoning,8
preattentive processing,31
preconscious perception,3
prejudice,684
primary memory,62
priming,2767
proactive control,109
proactive interference,172
problem solving,8058
procedural knowledge,86
procedural learning,261
procedural memory,224
procedural rule,1
processing capacity,210
processing speed,4095
processing stage,106
Production of non-facial communication,0
Productive facial communication,0
pronunciation,128
proper noun,2
proprioception,518
prosodic stress,2
prosody,450
prospective memory,586
prospective planning,6
prototype,569
psychological refractory period,125
psychosis,5864
punishment processing,19
quantitative skill,1
reading,8896
reasoning,5401
recall,12465
reception of facial communication,0
Reception of non-facial communication,0
recognition,22456
reconsolidation,144
regret,133
rehearsal,520
rehearsal loop,3
reinforcement learning,489
reinstatement,187
relational comparison,0
relational learning,39
remote memory,147
Repetition priming,428
repressed memory,3
resistance to distractor inference,0
resource,2656
resource limit,0
resource sharing,41
response bias,417
response conflict,295
response execution,95
response inhibition,1538
Response priming,45
response selection,548
restricted behavior,4
retention,4929
retrieval,4946
retrieval cue,28
retroactive interference,56
reward anticipation,111
reward learning,114
reward processing,439
reward valuation,17
rhythm,4310
right finger response execution,0
right hand response execution,0
right toe response execution,0
rigidity,861
risk,48282
risk aversion,74
risk processing,5
risk seeking,53
route knowledge,22
routine,3557
rule,2441
rule learning,145
sadness,746
salience,1530
schema,938
search,8460
selective attention,1958
selective control,14
self control,848
self knowledge,109
self monitoring,620
self talk,83
semantic categorization,114
semantic category,176
semantic information,387
semantic knowledge,430
semantic memory,1276
semantic network,133
Semantic priming,333
semantic processing,809
semantic working memory,3
sense of body ownership,23
sense of ownership,31
sensitivity to change,154
sensory defensiveness,0
sensory memory,121
sentence comprehension,446
sentence processing,333
sentence production,72
sentence recognition,32
sequence learning,362
serial learning,728
serial processing,66
serial search,42
set shifting,1132
shallow processing,17
shame,356
shape recognition,34
short term memory,9775
skepticism,101
skill,3829
skill acquisition,375
sleep,11890
social cognition,4594
social context,588
social inference,68
social intelligence,94
social motivation,83
social phobia,878
somatosensation,59
sound perception,34
source memory,219
source monitoring,151
spatial ability,411
spatial attention,937
spatial cognition,1071
spatial localization,118
spatial memory,3298
spatial selective attention,33
spatial working memory,1305
speech perception,3693
speech processing,333
speech production,935
spontaneous recovery,112
spreading activation,85
stereopsis,94
stereotypes,401
stimulus detection,79
story comprehension,53
strategy,9339
Strength,6155
stress,23143
string maintenance,0
subconscious,78
subjective food value,0
subjective value judgment,0
sublexical route,2
subliminal perception,34
suicidal ideation,663
supervisory attentional system,33
Surface dyslexia,52
surprise,385
sustained attention,1781
synchrony perception,10
syntactic parsing,26
syntactic processing,227
syntax,641
tactile working memory,9
task difficulty,774
task set,307
task switching,748
taste aversion,78
text comprehension,118
text processing,33
theory of mind,2580
thermosensation,4
thought,9539
tone recognition,4
tongue response execution,0
tool maintenance,0
top down processing,121
trait anxiety,1032
transduction,3154
traumatic memory,52
uncertainty,2251
unconscious perception,35
unconscious process,7
understanding mental states,0
unisensory,115
updating,1094
utility,5321
valence,1799
vection,31
verbal fluency,3214
verbal memory,3651
vestibular control,8
visual acuity,928
visual angle,60
visual attention,1634
visual awareness,190
visual body recognition,0
visual buffer,2
visual color discrimination,0
visual face recognition,5
visual form discrimination,14
visual form recognition,1
visual imagery,295
visual letter recognition,7
visual localization,16
visual masking,56
visual memory,1715
visual number recognition,0
visual object detection,1
visual object maintenance,0
visual object recognition,103
visual orientation,62
visual pattern recognition,6738
visual perception,11684
visual place recognition,0
visual pseudoword recognition,0
visual recognition,449
visual representation,113
visual search,1140
visual sentence recognition,0
visual string recognition,0
visual tool recognition,0
visual word recognition,226
visual working memory,515
visuospatial sketch pad,4
vocal response execution,0
voice perception,32
wisdom,249
word comprehension,131
word generation,151
word maintenance,0
word order,114
word pronunciation,11
word recognition,988
word repetition,119
working memory,14335
working memory maintenance,69
working memory retrieval,12
working memory storage,34
working memory updating,64
worldview,64
