Title,Abstract
Assembly Structure Expands the Dimension of Shared Variability in Cortical Networks,"Cortical circuits often receive multiple inputs from upstream populations with non-overlapping tuning prefer- ences. Both the feedforward and recurrent architectures of the receiving cortical layer will reflect this input tuning. We study how neuronal variability propagates through a hierarchical cortical network receiving multi- ple, independent, tuned inputs. Micro-electrode array recordings were simultaneously collected from the same hemisphere of primary visual cortex (V4) and prefrontal cortex (PFC) of a non-human primate engaging in a two-dimensional spatial working memory task. Neurons recorded from a single PFC hemisphere preferred spa- tial locations distributed across both visual hemifields. A single PFC hemisphere therefore receives lateralized, disjoint inputs from both visual hemispheres. Consistent with prior studies, the shared variance of V4 activity from one hemisphere was dominated by a single latent dimension. However, significantly more latent dimensions (3 ≤ d ≤ 8 ) were required to explain 95 percent of the shared variance of simultaneously recorded PFC activity. To understand this dimensionality expansion between V4 and PFC, we construct a two-layer spiking network with assembly structures reflecting the laterally-tuned V4 inputs. Our network consists of two, one-dimensional V4 hemispheres projecting disjointly to neurons in a recurrent PFC layer. Excitatory (E) and inhibitory (I) PFC model neurons are assigned a visual hemifield preference and recurrently connect to neurons preferring the same hemifield with greater probability. We show that the recurrent population’s ability to maintain global E/I balance in the presence of disjoint inputs depends on the recurrent clustering strength. Moreover, we demonstrate that in a moderately-clustered regime, recurrent neural activity has high-dimensional shared variability owing to a multistable solution in network activity. Restricting the dimensionality analysis to activity from one stable state recovers the low-dimensional structure inherited from V4 variability. Our model thus introduces a framework for thinking of high-dimensional cortical variability as ""time-sharing"" between low-dimensional, tuning-specific circuit dynamics."
Preexisting hippocampal network dynamics constrain optogenetically induced place fields,"Neuronal circuits face a fundamental tension between maintaining existing structure and changing to accommodate new information.  Memory models often emphasize the need to encode novel patterns of neural activity imposed by “bottom-up” sensory drive. In such models, learning is achieved through synaptic alterations, a process which potentially interferes with previously stored knowledge. Alternatively, neuronal circuits generate and maintain a preconfigured stable dynamic, sometimes referred to as an attractor, manifold, or schema, with a large reservoir of patterns available for matching with novel experiences. Here, we show that incorporation of arbitrary signals is constrained by pre-existing circuit dynamics. We optogenetically stimulated small groups of hippocampal neurons as mice traversed a chosen segment of a linear track, mimicking the emergence of place fields, while simultaneously recording the activity of stimulated and non-stimulated neighboring cells.  Stimulation of principal neurons in CA1, but less so CA3 or the dentate gyrus, induced persistent place field remapping. Novel place fields emerged in both stimulated and non-stimulated neurons, which could be predicted from sporadic firing in the new place field location and the temporal relationship to peer neurons prior to the optogenetic perturbation. Circuit modification was reflected by altered spike transmission between connected pyramidal cell – inhibitory interneuron pairs, which persisted during post-experience sleep. We hypothesize that optogenetic perturbation unmasked sub-threshold, pre-existing place fields. Plasticity in recurrent/lateral inhibition may drive learning through rapid exploration of existing states."
Evidence of a memory trace in motor cortex after short_term learning,"Does learning a new task change the neural activity patterns that the brain uses to perform a previously learned task? We hypothesized that neural activity used to re-perform an original task would remain appropriate for the new task. A difficulty in addressing this hypothesis is that, in most circumstances, the causal relationship between neural activity and behavior is unknown. To overcome this, we leveraged an intracortical brain-computer interface (BCI), where the mapping between neural activity and behavior is specified by the experimenters. This experimental paradigm allows us to quantify how appropriate neural activity is for a given mapping, even when that mapping is not currently being used. Experiments utilized an “ABA” block design, where monkeys proficiently used an original mapping A in a baseline period, and then the mapping was switched to a new mapping B that had to be learned through trial and error. After several hundred trials, mapping A was reinstated in a washout period. To evaluate whether learning a new mapping leaves a memory trace in motor cortex, we quantified the extent to which neural activity patterns produced when the monkey was controlling the cursor with mapping A were appropriate for mapping B. We found evidence of a memory trace, in that neural activity during the late portion of the washout period was more appropriate for mapping B than the neural activity during the baseline period. This result held when we controlled for factors such as behavioral differences between the baseline and washout periods. Overall, our findings suggest that learning a new task brings neural activity to a novel solution for the original task that also provides a benefit for the new task. This may be a mechanism by which the brain could more rapidly learn when re-exposed to the same perturbation, a phenomenon known as “savings”."
Task representation in evoked and spontaneous activity in the visual cortex,"Sensory areas of the cortex display rich activity even without stimulus presentation, which has been linked to the representation of expectations. Recent work, however, demonstrated that a large portion of the activity recorded in a passive animal when stimulus is absent is related to behavioural activity. Here we argue that in task engaged animals a task-relevant variable is reliably represented in the intertrial interval, when stimulus is not presented. We trained mice to perform a pair of tasks where the same set of multi-modal stimuli were used in different contexts: in one task context the animals were expected to make decisions based on visual stimulus content and ignore the auditory stimulus and in the other roles were reversed, thus decoupling task context, stimulus identity, and behavioural outcome. Unit recordings were obtained from V1. We found that task context was represented not only during stimulus presentation but a task representation consistent with on-stimulus activity was present during pre-stimulus activity as well. Representation of task context was achieved through recruiting a population overlapping with the one representing the visual stimulus but establishing an orthogonal representational space. This task-related activity was a major component of the activity recorded without stimulus and spanned only a low dimensional subspace. Context was invariantly represented in the same subspace throughout the session while transitioning to the other context. The task design enabled us to assess choice related activity independently. We found a representation of choice that emerged early in the trial, prior to actual behaviour and this choice representation resided again in a linearly independent subspace of the population activity space. Taken together, our results demonstrate that a structured activity pattern in V1 that is not related to the stimulus but is consistent whether stimulus is or is not presented reflects cognitive variables relevant to task execution."
Accurate angular integration with only a handful of neurons,"Ring attractor networks have been studied theoretically for over two decades as a putative model of the mammalian head-direction system ([1,2]; Fig 1A). Such networks rely on large numbers of neurons to accurately integrate angular velocity in order to maintain a precise representation of heading. However, recent findings in the fruitfly Drosophila melanogaster suggest that this computation can be robustly carried out by a small network consisting of relatively few neurons ([3-6]; Fig 1B). These findings call into question our current understanding of continuous attractors and their implementation in small circuits.In this work, we dissect the performance of a ring attractor model of the Drosophila heading network [5], with a focus on the model’s shortcomings. In particular, we show how the model’s failures in integration—including the inability to integrate small velocity input, variable integration of constant velocity input, and drift in the absence of velocity input—can all arise in the limit of small numbers of neurons. Motivated by the observation that these failures are seldom seen in a walking fly’s heading network [3,5], we then mathematically derive conditions under which such a constrained system can overcome these shortcomings and achieve the accuracy of the unconstrained system. Together, these results show how angular velocity integration can be accurately performed by small networks. When combined with electron-microscopy-based reconstruction of the cellular- and synaptic-resolution connectome of the fly heading network, together with ongoing physiology experiments, these results enable us to test whether and how such conditions for accurate performance are achieved mechanistically in the real circuit."
Flexible neuronal dynamics during categorization task switching in artificial and biological neural networks,"Animals exhibit remarkable flexibility in their behavior by efficiently adapting to changes in their environment. Although much research has quantified how artificial and biological networks adapt to changes in sensory inputs or motor outputs, it is unknown how networks adapt to changes in cognitive demands, such as working memory, within the framework of a single task.To advance our understanding of flexibility in biological networks, we trained monkeys to perform categorization task switching while recording neural responses from the posterior parietal cortex. Given a contextual cue, monkeys categorized visual motion stimuli by either making a rapid eye movement to a colored target associated with the category or by making a delayed hand movement to indicate whether sequentially presented stimuli belonged to the same category. To discover the range of viable solutions for task switching, we studied artificial recurrent neural networks (RNNs) trained to perform the same task as behaving animals. In artificial and biological neural networks, we find similar patterns of category selectivity in both tasks, but surprisingly, categorical encoding is more binary and more persistent in the delayed matching task. We hypothesize that attractor dynamics underlying the generation of persistent activity is a candidate mechanism by which neural networks reduce the dimensionality of stimulus representations. Because only the delayed task requires maintaining category information in working memory, attractor dynamics appears to compress category-related information to a simpler, binary format by collapsing all directions within a category toward a single population state. Indeed, analysis of the fixed-point structure of trained RNNs shows that following stimulus onset, sample categories produce stable attractors in the delayed matching task but not in the rapid categorization task. Together, our findings suggest that neural networks mediate flexible task switching through generalized category representations that are reorganized through attractor dynamics that underlie working memory-based computations."
Tracking information flow in subnetworks of mouse visual cortex,"Characterizing highly recurrent information propagation between cortical ensembles requires measuring large populations of interacting neurons, combined with computational tools that can reveal the logic of these interactions. Here we simultaneously recorded the spiking activity of hundreds of neurons across six hierarchically organized regions of the mouse visual cortex (areas: V1, LM, RL, AL, PM, AM). By analyzing functional interactions between pairs of neurons, we uncovered distinct ensembles that differentially participate in feedforward and feedback processes. One ensemble (the ‘driver’ ensemble) leads network activity, whereas the other (the ‘driven’ ensemble) follows it. These ensembles are distributed across all cortical areas we studied, but ‘driver’ neurons are enriched in lower-order areas, such as V1 and LM, and ‘driven’ cells are enriched in higher-order areas, such as PM and AM. To investigate the role of these two ensembles, we quantified their response latency, information content, and temporal precision during visual stimulation. Response latencies in the ‘driver’ ensemble systematically increased along the visual hierarchy. Strikingly, average response latency of the ‘driven’ ensemble in lower areas of the hierarchy (V1, LM) was slower than the ‘driver’ ensemble at the top of the hierarchy (AM, PM). This suggests that visual signals first propagate along the hierarchy through feedforward connections within the ‘driver’ ensemble (~ 3ms) followed by activation of the ‘driven’ ensemble, likely through feedback and lateral connections. We found that stimulus-related information systematically decreased along the hierarchy within the ‘driver’ ensemble, as reflected by changes in stimulus-dependent information, temporal precision, and explainable variance of neural response to sensory inputs. In general, the ‘driver’ ensemble represented more information about external stimuli than the ‘driven’ ensemble in each area. These findings show that separate functional ensembles within the same network have distinct properties and are positioned to mediate different stages of information flow during sensory processing."
Sequential Component Analysis (SCA),"From molecules to whole organisms, the dynamics of natural living systems depart from “thermodynamic equilibrium” [Gnesotto, 2018]. Statistically, the state trajectories produced by such systems are non-reversible, i.e. they do not have equal likelihood of occurring in the reverse temporal direction even in stationary regimes. For example, neural systems exhibit anisotropic waves of activity (e.g. during development), produce precisely ordered spike sequences (e.g. episodic memory), or generate rotational patterns of activity (e.g. motor control). Despite the prevalence and importance of sequential neural activity, there is a relative paucity of methods for exploring the spatio-temporal structure of irreversibility in multivariate time series. Here, we introduce Sequential Components Analysis (SCA), a simple yet effective and scalable method for doing this.SCA performs a systematic analysis of spatio-temporal covariances (all time pairs and unit pairs), and extracts the spatio-temporal modes of activity that contribute most to sequentiality. We highlight the main distinguishing features of the method using a toy example, and apply it to monkey M1 motor activity as well as rat hippocampal data where we show that sequential features separate navigational memories better than mere principal components."
Learning rate adjustments in a volatile environment by mouse medial prefrontal cortex,"Animals rely on the experience of past choices and outcomes to guide current decisions. But how should they weigh recent evidence relative to distant events in learning? Human and non-human primate studies suggest that volatility of the environment – which could be inferred by the animal from the statistics of the reward history – is a crucial factor in optimizing the learning rate. Namely, in a volatile environment, we want to update often and use information from the recent past. By contrast, in a stable environment, we may integrate over many trials for a more reliable estimate of the world. Still unknown, however, is the extent to which mice are capable of such meta-reinforcement learning. Moreover, causal evidence for the potential neural substrates is lacking.In this study, head-fixed mice performed a two-armed bandit task. By design, the reward probabilities switched after a varying number of trials, leading to differences in volatility. Analyses of the performance, including fits to reinforcement learning algorithms, indicated that mice dynamically adjusted their learning rate based on estimates of the reward statistics. To determine the neural substrate, we tested mice before and after excitotoxic lesion of the cingulate and premotor regions (Cg1/M2) of the medial prefrontal cortex. Unilateral lesion diminished learning rate adjustments. Intriguingly, deficits were specific to switches towards the contralateral side, suggesting aberrant volatility estimation from contralateral rewards. Competing theories posited that volatility estimates could be used for computations during action selection, value updating, or both processes. To disambiguate these possibilities, we optogenetically silenced Cg1/M2 activity either before or after the decision in each trial. We found that post-choice, but not pre-choice, inactivation reproduced the learning deficits. Altogether, the results demonstrate that mice are sensitive to the statistics of the reward history, and the post-decisional adjustment to learning depends crucially on Cg1/M2."
Gradient-based learning with Hebbian plasticity in structured and deep neural networks,"Synaptic plasticity is widely accepted to be the mechanism behind learning in the brain’s neural networks. A central question is how synapses, with access to only local information about thenetwork, can still organize collectively and perform circuit-wide learning in an efficient manner. In single-layered and all-to-all connected neural networks, local plasticity has been shown to implement gradient-based learning on a class of cost functions that contain a term that aligns the similarity of outputs to the similarity of inputs. Whether such cost functions exist for networks with other architectures is not known. In this work, we introduce structured and deep similarity matching cost functions, and show how they can be optimized in a gradient-based manner by neural networks with local learning rules. These networks extend Földiak’s Hebbian/Anti-Hebbian network to deep architectures and structured feedforward, lateral and feedback connections. Credit assignment problem is solved elegantly by a factorization of the dual learning objective to synapse specific local objectives. Simulations show that structured and deep similarity-based unsupervised networks learn meaningful features."
Dissecting feedforward and feedback interactions between populations of neurons,"Brain areas interact through a rich combination of feedforward and feedback signals. Yet the computational role of this bidirectional communication in perception and cognition remains largely unknown. Modern recording techniques offer data that may elucidate that role: We can now simultaneously record many neurons across multiple brain regions. Still, disentangling inter-area communication remains a challenging problem: How do we distinguish population signals that are relayed across brain areas from those that are not? And among the relayed signals, how do we distinguish feedforward from feedback? Toward that end, we propose a novel dimensionality reduction framework, Time-Delay Gaussian Process Canonical Correlation Analysis (TD-GPCCA), which dissects the time-varying activity in each brain area into two sets of low-dimensional trajectories: (1) A within-area set, and (2) An across-area set, which can be dissected further into feedforward and feedback components. This dissection requires three tasks: dimensionality reduction, temporal smoothing, and the discovery of time-lags, or delays, between activity in each area. TD-GPCCA executes these tasks jointly. We first demonstrate that our method accurately recovers ground truth parameters and latent trajectories in realistic-scale synthetic data. Then, we use TD-GPCCA to study the interactions between simultaneously recorded populations in areas V1 and V2 of the macaque monkey. Across multiple stimuli and recording sessions, we find that (1) Nominally feedforward (V1 to V2) trajectories carry stronger stimulus-related “signal” than nominally feedback ones (V2 to V1); and (2) Virtually all signal in V2 is attributable to communication with V1, whereas V1 appears to keep a portion of its signal private. Overall, this work establishes a framework for dissecting feedforward and feedback interactions between populations of neurons in distinct brain areas."
Rapid representational drift in primary olfactory cortex,"Primary olfactory (piriform) cortex has been traditionally hypothesized to facilitate the identification of odorants. A region whose principal role is to support stimulus identification should produce a readout that varies little over the animal’s lifetime. For example, absent learning-induced plasticity, odorant representations in the olfactory bulb (the principal input to piriform) are stable over several weeks. Similarly, sensory maps in primary neocortical regions, like retinotopy in V1, are grossly stable. We asked whether piriform, which lacks an analogous sensory map, exhibits comparable stability.    For this we developed a strategy to achieve long-term recordings from fixed populations of single-units in anterior piriform and measured odor tuning across weeks. We have made three observations. (1) Odorant representations are profoundly reorganized on a timescale of weeks: a linear classifier trained using responses recorded on one day performs nearly at chance when tested on responses recorded one month later. (2) Odorant representations are stabilized if the animal has frequent, regular experience with the stimuli. But (3) this stabilization lasts only so long as regular experience is maintained; otherwise, previously stabilized representations become labile once again.    Piriform therefore seems poorly suited for facilitating odor identification over an organism’s lifetime. Instead it exhibits key features of a fast learning system: regular, non-reinforced, experience is sufficient to produce a memory trace (a stable representation), however, this trace is not burnt in and is rapidly overwritten absent frequent experience. We propose that piriform is a highly plastic system that learns statistical regularities in the olfactory environment but lacks the capacity for long-term storage of that information. This view produces two predictions that we are currently testing: (1) odor identification over the animal’s lifetime is implemented in a parallel system without requiring piriform, and (2) a slow learning system exists downstream to store long-term memories initially encoded in piriform."
Dissecting modularity and redundancy in multi-regional circuits by population recording and modeling,"The brain plans volitional movements before they are executed. Preparatory activity is distributed across multiple brain regions, but it is unclear what is the function of these parallel representations. Nor is it known how interactions between brain regions mediate preparatory activity. Activity in the mouse anterior lateral motor cortex (ALM) instructs specific upcoming movements. ALM preparatory activity is robust to large-scale perturbations and this robustness is dependent on ALM interhemispheric interactions. We examined ALM interhemispheric interactions using bilateral silicon probe recordings and optogenetic perturbations. Preparatory activity was correlated across the hemispheres, i.e., in single trials, activity in both hemispheres predicted the same future movement. Therefore, the motor plan was redundantly represented in both hemispheres. Surprisingly, perturbation revealed different interhemispheric interactions across mice. In some mice, the two hemispheres were strongly coupled and silencing one hemisphere substantially reduced preparatory activity in the other hemisphere. In other mice, the two hemispheres appeared modular and weakly coupled: each hemisphere could independently maintain preparatory activity without the other. The distinct interhemispheric interactions were results of learning. Modular organization increased the robustness of preparatory activity. When one hemisphere suffered a perturbation, signals from the other intact hemisphere could help restore correct activity. Building predictive models of multi-regional neuronal dynamics, we were able to infer these distinct interhemispheric interactions across mice from control trial preparatory activity. A state-dependent gating of information flow between hemispheres was inferred by our models and it predicted the robustness of behavioral performance. Finally, using artificial RNNs, we identified conditions in which distinct interhemispheric interactions and robustness against perturbations can arise. These results reveal degeneracies in multi-regional circuits and present experimental and computational approaches to dissect redundant and modular representations across brain regions. Such organization may enable dynamical error- correction that allows multi-regional circuits to produce robust behaviors under challenging circumstances."
